"V7","V8","V9","V10","MID","Q1.1","Q1.2_1_TEXT","Q1.2_2_TEXT","Q2.1","Q2.2.1_1","Q2.2.1_2","Q2.2.1_3","Q2.2.1_4","Q2.2.1_5","Q2.2.1_6","Q2.2.1_7","Q2.2.1_8","Q2.2.1_9","Q2.2.1_10","Q2.2.1_11","Q2.2.1_12","Q2.2.1_13","Q2.2.1_14","Q2.3_1","Q2.3_2","Q2.3_3","Q2.3_4","Q2.4","Q2.5","Q2.6_1_TEXT","Q2.6_2_TEXT","Q2.7_1","Q2.7_2","Q2.7_3","Q2.7_4","Q3.1","Q3.2","Q3.3_1","Q3.3_2","Q3.3_3","Q3.3_4","Q4.1","Q4.2_1","Q4.2_2","Q4.2_4","Q4.2_6","Q4.2_7","Q4.3_2","Q4.3_3","Q4.3_4","Q4.3_7","Q4.3_11","Q4.3_12","Q4.3_13","Q4.3_13_TEXT","Q4.4_1","Q4.4_2","Q4.4_3","Q4.4_4","Q5.1_1","Q5.1_5","Q5.2_1","Q5.2_2","Q5.2_3","Q5.2_4","Q6.1","Q6.2_1","Q6.2_2","Q6.2_3","Q6.2_4","Q7.1_2","Q7.1_3","Q7.2_1","Q7.2_2","Q7.2_3","Q7.2_4","Q8.1","Q8.2","Q8.3","Q8.4","Q8.4_TEXT","Q8.5","Q8.6","Q8.7_1","Q8.7_2","Q8.7_3","Q8.7_4","Q9.1","Q9.2_1","Q9.2_2","Q9.2_3","Q9.2_4","Q9.3","Q9.4_1","Q9.4_2","Q9.4_3","Q9.4_4","DO.Q.Q5.1","DO.Q.Q4.2","DO.Q.Q7.1","DO.Q.Q2.2","DO.Q.Q4.3","X"
0,"2016-06-23 12:43:04","2016-06-23 12:46:32",1,"b4a8f79b109b3b909b4b77a850f37b8d","Yes, I agree to participate in this study.","b4a8f79b109b3b909b4b77a850f37b8d","b4a8f79b109b3b909b4b77a850f37b8d",1,"1-6 times per week","1-6 times per week","less than 1 time per week","less than 1 time per week","never","less than 1 time per week","never","1-6 times per week","1-3 times per day","1-3 times per day","1-6 times per week","1-6 times per week","never","1-3 times per day",1,2,3,4,"Every other day","No",NA,NA,1,2,3,4,"Maintain current levels","Somewhat Decrease",1,2,3,4,1,"Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Disagree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Probably yes","Definitely not",1,2,3,4,2,1,2,3,4,"Somewhat Difficult","Easy",1,2,3,4,1,"Arizona","Female","University-level education, with degree (e.g. BA, BSc, ...)",NA,1972,"$30,001 - $40,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|2|7|4|6","2|3","3|13|4|8|5|11|1|6|10|2|14|12|9|7","11|7|2|3|4|12|13",NA
0,"2016-06-23 12:44:22","2016-06-23 12:46:38",1,"8539e7f50283f778afeb72f1aa83cdd3","Yes, I agree to participate in this study.","8539e7f50283f778afeb72f1aa83cdd3","8539e7f50283f778afeb72f1aa83cdd3",1,"never","never","never","never","never","never","never","never","4 or more times per day","4 or more times per day","4 or more times per day","4 or more times per day","1-3 times per day","4 or more times per day",1,2,3,4,"Never","Yes","09/2014",NA,1,2,3,4,"Maintain current levels","Maintain current levels",1,2,3,4,1,"Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree",NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,"Maybe","Definitely not",1,2,3,4,5,1,2,3,4,"Very Easy","Very Difficult",1,2,3,4,1,"Michigan","male","University-level education, with degree (e.g. BA, BSc, ...)",NA,1989,"$40,001 - $50,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","6|4|1|2|7","2|3","14|1|12|8|5|7|6|10|2|4|13|3|9|11","7|3|4|12|11|2|13",NA
0,"2016-06-23 12:42:18","2016-06-23 12:46:41",1,"28503b89ae9fbba603b818e95231aef4","Yes, I agree to participate in this study.","28503b89ae9fbba603b818e95231aef4","28503b89ae9fbba603b818e95231aef4",1,"1-6 times per week","less than 1 time per week","less than 1 time per week","never","1-6 times per week","1-6 times per week","never","1-6 times per week","1-3 times per day","1-3 times per day","less than 1 time per week","less than 1 time per week","never","1-6 times per week",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Maintain current levels","Maintain current levels",1,2,3,4,1,"Disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Definitely yes","Definitely not",1,2,3,4,5,1,2,3,4,"Difficult","Somewhat Easy",1,2,3,4,1,"Illinois","female","University-level education, with degree (e.g. BA, BSc, ...)",NA,1979,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","4|2|6|7|1","3|2","11|14|2|13|1|9|8|3|10|4|6|12|7|5","2|3|7|12|4|11|13",NA
0,"2016-06-23 12:42:27","2016-06-23 12:47:01",1,"cb4af579cebc3d164220885dfb9b1bac","Yes, I agree to participate in this study.","cb4af579cebc3d164220885dfb9b1bac","cb4af579cebc3d164220885dfb9b1bac",1,"1-3 times per day","1-6 times per week","less than 1 time per week","less than 1 time per week","1-6 times per week","1-6 times per week","1-6 times per week","1-6 times per week","1-3 times per day","1-6 times per week","1-6 times per week","less than 1 time per week","never","4 or more times per day",1,2,3,4,"Every other day","No",NA,NA,1,2,3,4,"Maintain current levels","Somewhat Decrease",1,2,3,4,1,"Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Probably yes","Probably not",1,2,3,4,2,1,2,3,4,"Very Difficult","Somewhat Difficult",1,2,3,4,1,"Florida","Male","Some university-level education, without degree",NA,1990,"$20,001 - $30,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","1|4|6|2|7","3|2","9|3|1|7|14|12|10|6|2|5|8|4|11|13","7|4|12|2|11|3|13",NA
0,"2016-06-23 12:43:49","2016-06-23 12:47:21",1,"390e12188d94ca9cb291256fc74d8cbd","Yes, I agree to participate in this study.","390e12188d94ca9cb291256fc74d8cbd","390e12188d94ca9cb291256fc74d8cbd",1,"1-3 times per day","less than 1 time per week","less than 1 time per week","less than 1 time per week","never","never","never","never","never","less than 1 time per week","never","never","never","1-3 times per day",1,2,3,4,"Every other day","No",NA,NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Agree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Maybe","Probably not",1,2,3,4,6,1,2,3,4,"Somewhat Difficult","Very Easy",1,2,3,4,1,"Kentucky","male","University-level education, with degree (e.g. BA, BSc, ...)",NA,1981,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|7|2|6|4","3|2","8|5|9|14|11|2|1|13|12|3|6|10|7|4","3|7|11|12|4|2|13",NA
0,"2016-06-23 12:41:38","2016-06-23 12:47:29",1,"5cb6d34ee4f3737f13da422c2c157bed","Yes, I agree to participate in this study.","5cb6d34ee4f3737f13da422c2c157bed","5cb6d34ee4f3737f13da422c2c157bed",1,"1-6 times per week","1-6 times per week","never","1-3 times per day","1-6 times per week","1-6 times per week","never","1-6 times per week","1-6 times per week","1-6 times per week","never","less than 1 time per week","never","1-3 times per day",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Somewhat agree","Disagree","Agree","Somewhat agree","Agree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Maybe","Maybe",1,2,3,4,2,1,2,3,4,"Very Difficult","Difficult",1,2,3,4,1,"Minnesota","Male","University-level education, with degree (e.g. BA, BSc, ...)",NA,1978,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|7|4|2|6","3|2","14|12|1|7|8|6|11|5|9|4|3|10|13|2","7|12|11|4|2|3|13",NA
0,"2016-06-23 12:44:31","2016-06-23 12:47:38",1,"46409cc34ec0f811ff81349ba0679b1d","Yes, I agree to participate in this study.","46409cc34ec0f811ff81349ba0679b1d","46409cc34ec0f811ff81349ba0679b1d",1,"1-3 times per day","1-6 times per week","1-6 times per week","1-6 times per week","1-6 times per week","1-6 times per week","never","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","never","1-6 times per week","1-3 times per day",1,2,3,4,"2-3 Times a Week","No",NA,NA,1,2,3,4,"Increase","Maintain current levels",1,2,3,4,1,"Disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Maybe","Maybe",1,2,3,4,8,1,2,3,4,"Very Difficult","Neutral",1,2,3,4,1,"Illinois","female","University-level education, with degree (e.g. BA, BSc, ...)",NA,1983,"$20,001 - $30,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|2|6|4|7","3|2","13|12|8|9|1|5|2|4|10|6|7|3|11|14","11|4|2|3|12|7|13",NA
0,"2016-06-23 12:44:42","2016-06-23 12:47:47",1,"214492db1a05198f62726beec8e62731","Yes, I agree to participate in this study.","214492db1a05198f62726beec8e62731","214492db1a05198f62726beec8e62731",1,"1-6 times per week","1-3 times per day","less than 1 time per week","1-6 times per week","1-6 times per week","less than 1 time per week","less than 1 time per week","1-6 times per week","1-3 times per day","less than 1 time per week","less than 1 time per week","less than 1 time per week","1-6 times per week","1-6 times per week",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Strongly agree","Agree","Strongly agree","Somewhat agree","Somewhat agree","Price of the product",NA,NA,"Whether the animals had a good standard of living",NA,NA,NA,NA,1,2,3,4,"Maybe","Definitely yes",1,2,3,4,4,1,2,3,4,"Somewhat Easy","Easy",1,2,3,4,1,"Texas","male","Higher degree (e.g. MSc, PhD)",NA,1961,"$70,001 - $80,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","2|6|1|4|7","3|2","11|8|4|10|7|9|3|6|12|14|13|2|5|1","11|4|7|2|12|3|13",NA
0,"2016-06-23 12:45:38","2016-06-23 12:48:08",1,"1a6281cbde77508fb29b96792652e0cb","Yes, I agree to participate in this study.","1a6281cbde77508fb29b96792652e0cb","1a6281cbde77508fb29b96792652e0cb",1,"1-6 times per week","1-3 times per day","1-3 times per day","1-3 times per day","1-6 times per week","1-3 times per day","4 or more times per day","1-3 times per day","1-3 times per day","1-6 times per week","1-6 times per week","1-3 times per day","4 or more times per day","1-3 times per day",1,2,3,4,"Every other day","No",NA,NA,1,2,3,4,"Increase","Somewhat increase",1,2,3,4,1,"Somewhat agree","Agree","Neither agree nor disagree","Somewhat agree","Agree","Price of the product",NA,NA,NA,NA,"The environmental impacts of the product",NA,NA,1,2,3,4,"Probably yes","Maybe",1,2,3,4,7,1,2,3,4,"Somewhat Easy","Neutral",1,2,3,4,1,"New York","male","University-level education, with degree (e.g. BA, BSc, ...)",NA,1990,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","2|4|1|6|7","2|3","12|11|3|7|4|14|5|10|6|8|13|2|1|9","2|7|12|4|3|11|13",NA
0,"2016-06-23 12:44:31","2016-06-23 12:48:10",1,"05503c645effc71f509d059a18b7a845","Yes, I agree to participate in this study.","05503c645effc71f509d059a18b7a845","05503c645effc71f509d059a18b7a845",1,"1-6 times per week","1-6 times per week","less than 1 time per week","less than 1 time per week","1-6 times per week","1-6 times per week","less than 1 time per week","1-6 times per week","1-3 times per day","1-3 times per day","1-6 times per week","1-6 times per week","never","1-6 times per week",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Strongly disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Disagree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Maybe","Probably not",1,2,3,4,1,1,2,3,4,"Very Difficult","Difficult",1,2,3,4,1,"Ohio","male","University-level education, with degree (e.g. BA, BSc, ...)",NA,1966,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|6|4|2|7","3|2","5|13|14|12|9|2|4|10|6|7|8|3|11|1","3|12|2|7|4|11|13",NA
0,"2016-06-23 12:44:15","2016-06-23 12:48:14",1,"0f51f4b8aacf4f6dce1f455349e5e1f5","Yes, I agree to participate in this study.","0f51f4b8aacf4f6dce1f455349e5e1f5","0f51f4b8aacf4f6dce1f455349e5e1f5",1,"1-3 times per day","never","never","less than 1 time per week","never","never","never","1-6 times per week","1-3 times per day","1-3 times per day","1-6 times per week","1-6 times per week","1-6 times per week","1-3 times per day",1,2,3,4,"Less than once a week","Yes","12/2015",NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Agree","Disagree","Agree","Agree","Strongly agree","Price of the product","Nutritional content of the product",NA,NA,NA,NA,NA,NA,1,2,3,4,"Probably yes","Maybe",1,2,3,4,10,1,2,3,4,"Very Easy","Very Easy",1,2,3,4,1,"Minnesota","Female","Some university-level education, without degree",NA,1995,"$0 - $10,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","4|1|6|2|7","3|2","10|7|13|9|1|12|3|11|6|5|14|8|2|4","2|12|4|7|3|11|13",NA
0,"2016-06-23 12:44:11","2016-06-23 12:48:16",1,"15098e7247f1e6175b1f416005f3cd15","Yes, I agree to participate in this study.","15098e7247f1e6175b1f416005f3cd15","15098e7247f1e6175b1f416005f3cd15",1,"1-3 times per day","never","never","never","never","never","never","1-6 times per week","4 or more times per day","1-3 times per day","1-3 times per day","1-3 times per day","less than 1 time per week","4 or more times per day",1,2,3,4,"Never","Yes","04/08/16",NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree",NA,"Nutritional content of the product","Whether the product is antibiotic and/or hormone free",NA,NA,NA,NA,NA,1,2,3,4,"Maybe","Maybe",1,2,3,4,5,1,2,3,4,"Easy","Very Easy",1,2,3,4,1,"New York","Female","Some university-level education, without degree",NA,1987,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","4|6|2|1|7","3|2","10|8|14|4|13|6|5|7|12|2|9|1|11|3","4|3|2|12|11|7|13",NA
